Generation,Avg. fitness,Best fitness,Peak fitness,Hp contacts,Overlaps,Mutation rate
394,8.187163468160971,29.0,31.0,29,0,2707
395,7.932154063050817,30.0,31.0,30,0,2702
396,8.126215240879258,29.0,31.0,29,0,2705
397,8.246292316179455,29.0,31.0,29,0,2702
398,8.081766982507187,29.0,31.0,29,0,2723
399,7.894946286186359,28.0,31.0,28,0,2747
400,8.039069395105287,28.0,31.0,28,0,2731
401,7.923130855914426,28.0,31.0,28,0,2745
402,7.93024474799553,28.0,31.0,28,0,2759
403,8.307552559280875,28.0,31.0,28,0,2747
404,8.184523292281733,28.0,31.0,28,0,2724
405,8.318433725662356,28.0,31.0,28,0,2690
406,8.67741794404716,27.0,31.0,27,0,2686
407,8.31980043069954,27.0,31.0,27,0,2685
408,8.407363819326994,28.0,31.0,28,0,2703
409,8.082266079850084,30.0,31.0,30,0,2686
410,8.10305957983153,30.0,31.0,30,0,2709
411,8.122977782877058,28.0,31.0,28,0,2687
412,8.153826339232394,28.0,31.0,28,0,2695
413,8.072648678429884,28.0,31.0,28,0,2667
414,8.391082022017692,29.0,31.0,29,0,2686
415,8.093923107411849,30.0,31.0,30,0,2695
416,8.19356706908401,30.0,31.0,30,0,2726
417,8.428851573728952,30.0,31.0,30,0,2759
418,8.037913451788203,30.0,31.0,30,0,2783
419,8.2481330033772,30.0,31.0,30,0,2791
420,8.186121903714582,30.0,31.0,30,0,2765
421,8.15600053849578,29.0,31.0,29,0,2771
422,8.063045770055599,30.0,31.0,30,0,2781
423,7.976346139837143,28.0,31.0,28,0,2790
424,7.96469185020576,29.0,31.0,29,0,2826
425,7.908423316177604,30.0,31.0,30,0,2840
426,7.983763227384222,29.0,31.0,29,0,2816
427,8.249300621917287,29.0,31.0,29,0,2805
428,8.246849641346008,28.0,31.0,28,0,2794
429,8.01760274741141,28.0,31.0,28,0,2780
430,7.765441841288044,30.0,31.0,30,0,2788
431,8.026967295820002,30.0,31.0,30,0,2757
432,8.421508358768278,27.0,31.0,27,0,2715
433,8.490261385670006,29.0,31.0,29,0,2687
434,8.454200298733387,29.0,31.0,29,0,2689
435,8.615925927967952,29.0,31.0,29,0,2698
436,8.514236290431358,29.0,31.0,29,0,2683
437,8.682652738019087,29.0,31.0,29,0,2734
438,8.412608798211453,29.0,31.0,29,0,2719
439,8.488134196678052,29.0,31.0,29,0,2702
440,8.563522735637251,30.0,31.0,30,0,2728
441,8.203654286729474,30.0,31.0,30,0,2728
442,8.25644865508105,30.0,31.0,30,0,2744
443,8.33621805399047,30.0,31.0,30,0,2754
444,8.576568260785017,30.0,31.0,30,0,2748
445,8.296785908966596,30.0,31.0,30,0,2740
446,8.32236790227997,30.0,31.0,30,0,2744
447,8.087697499513459,30.0,31.0,30,0,2741
448,8.242630010996145,30.0,31.0,30,0,2726
449,8.436867839584304,30.0,31.0,30,0,2735
450,8.298770336683775,28.0,31.0,28,0,2741
451,8.151302022891311,28.0,31.0,28,0,2756
452,8.134408405695938,27.0,31.0,27,0,2784
453,8.160070125451414,27.0,31.0,27,0,2790
454,8.17661808267449,29.0,31.0,29,0,2815
455,7.82212079920688,27.0,31.0,27,0,2827
456,7.995015204998434,27.0,31.0,27,0,2822
457,8.181873633684296,29.0,31.0,29,0,2806
458,7.993097269683188,28.0,31.0,28,0,2781
459,7.835437294616303,27.0,31.0,27,0,2763
460,8.36343411111359,30.0,31.0,30,0,2748
461,8.164246753513286,30.0,31.0,30,0,2739
462,8.056450845488554,29.0,31.0,29,0,2761
463,7.9767091352355095,29.0,31.0,29,0,2740
464,8.163887661618675,28.0,31.0,28,0,2747
465,7.875896446665847,28.0,31.0,28,0,2714
466,8.015842662305815,27.0,31.0,27,0,2716
467,8.074502361212568,28.0,31.0,28,0,2711
468,8.054035313108065,28.0,31.0,28,0,2709
469,7.94534359895146,28.0,31.0,28,0,2701
470,7.991306745767963,29.0,31.0,29,0,2705
471,8.376958066720128,29.0,31.0,29,0,2683
472,8.167780176300125,28.0,31.0,28,0,2707
473,7.980300348580936,28.0,31.0,28,0,2717
474,8.141214925483117,30.0,31.0,30,0,2720
475,7.948624324971798,30.0,31.0,30,0,2750
476,8.03131329102506,28.0,31.0,28,0,2768
477,8.24290685625788,28.0,31.0,28,0,2742
478,7.863857956161611,28.0,31.0,28,0,2756
479,8.364522679479009,29.0,31.0,29,0,2727
480,8.039142942400392,28.0,31.0,28,0,2737
481,8.0021603339521,29.0,31.0,29,0,2745
482,8.297364703497136,29.0,31.0,29,0,2731
483,8.196108975805856,29.0,31.0,29,0,2710
484,8.564453179139315,29.0,31.0,29,0,2709
485,8.462462209549956,29.0,31.0,29,0,2686
486,8.663284095492337,29.0,31.0,29,0,2707
487,8.365891719308046,30.0,31.0,30,0,2674
488,8.410789701260988,29.0,31.0,29,0,2691
489,8.331229024267667,29.0,31.0,29,0,2684
490,8.26665912981691,29.0,31.0,29,0,2658
491,8.557162614402623,29.0,31.0,29,0,2637
492,8.866676169400291,29.0,31.0,29,0,2663
493,8.344930870897585,29.0,31.0,29,0,2699
494,8.587362106959286,31.0,31.0,31,0,2712
495,8.321393625533918,31.0,31.0,31,0,2691
496,8.534595644814928,31.0,31.0,31,0,2711
497,8.405236498211526,31.0,31.0,31,0,2746
498,8.468606881605554,31.0,31.0,31,0,2745
