Generation,Avg. fitness,Best fitness,Peak fitness,Hp contacts,Overlaps,Mutation rate
1245,8.059533832209322,31.0,33.0,31,0,2812
1246,8.118502616109318,30.0,33.0,30,0,2840
1247,7.542022973064082,28.0,33.0,28,0,2805
1248,7.898507636578103,28.0,33.0,28,0,2753
1249,7.981531842761391,31.0,33.0,31,0,2688
1250,8.182451766033585,29.0,33.0,29,0,2671
1251,8.191753214227148,27.0,33.0,27,0,2677
1252,8.033426004102104,31.0,33.0,31,0,2680
1253,8.444703173542901,31.0,33.0,31,0,2648
1254,8.35753045872792,30.0,33.0,30,0,2628
1255,8.379321213147556,29.0,33.0,29,0,2633
1256,8.699017903733223,29.0,33.0,29,0,2617
1257,8.178981940844011,29.0,33.0,29,0,2588
1258,8.279510548680372,29.0,33.0,29,0,2582
1259,8.398787020422914,29.0,33.0,29,0,2581
1260,8.433596001538818,29.0,33.0,29,0,2569
1261,8.591931934865714,29.0,33.0,29,0,2588
1262,8.983071874282471,30.0,33.0,30,0,2588
1263,8.477770494607817,29.0,33.0,29,0,2628
1264,8.6427196382213,29.0,33.0,29,0,2656
1265,8.394591051686433,29.0,33.0,29,0,2658
1266,8.721320944350786,29.0,33.0,29,0,2664
1267,8.02818081861803,29.0,33.0,29,0,2677
1268,8.3508505504636,29.0,33.0,29,0,2669
1269,8.490699163664948,29.0,33.0,29,0,2666
1270,8.292279901900494,29.0,33.0,29,0,2725
1271,8.020107316760562,29.0,33.0,29,0,2750
1272,8.01495840337625,30.0,33.0,30,0,2785
1273,8.11691620622088,29.0,33.0,29,0,2767
1274,7.850516153205469,28.0,33.0,28,0,2804
1275,7.9432458944753765,29.0,33.0,29,0,2797
1276,7.783904796754402,29.0,33.0,29,0,2809
1277,8.150474145780422,29.0,33.0,29,0,2801
1278,8.098921207164988,29.0,33.0,29,0,2799
1279,7.8908574675389955,29.0,33.0,29,0,2802
1280,8.312331735839711,29.0,33.0,29,0,2769
1281,7.932355686949957,29.0,33.0,29,0,2759
1282,7.692716617451623,29.0,33.0,29,0,2737
1283,8.18150232436198,30.0,33.0,30,0,2729
1284,8.31678080804033,30.0,33.0,30,0,2732
1285,8.212143552105132,29.0,33.0,29,0,2730
1286,7.869479404177342,29.0,33.0,29,0,2765
1287,8.155559468987704,29.0,33.0,29,0,2756
1288,8.03156012267264,29.0,33.0,29,0,2730
1289,8.397877196870287,29.0,33.0,29,0,2739
1290,8.247803567589283,29.0,33.0,29,0,2739
1291,7.9223297066099,30.0,33.0,30,0,2784
1292,7.934383519163312,29.0,33.0,29,0,2774
1293,7.5125780663275155,29.0,33.0,29,0,2761
1294,7.611598547937503,27.0,33.0,27,0,2793
1295,7.737250891716603,27.0,33.0,27,0,2751
1296,7.669392183905952,28.0,33.0,28,0,2744
1297,7.564392965329938,29.0,33.0,29,0,2734
1298,7.870020732612852,28.0,33.0,28,0,2704
1299,7.839575303603734,28.0,33.0,28,0,2677
1300,8.147012653362744,32.0,33.0,32,0,2650
1301,7.95298154706778,32.0,33.0,32,0,2656
1302,8.249672507535452,32.0,33.0,32,0,2667
1303,8.201899688480394,32.0,33.0,32,0,2674
1304,8.369378048516088,28.0,33.0,28,0,2664
1305,8.482147640883118,29.0,33.0,29,0,2654
1306,7.976836513399988,29.0,33.0,29,0,2679
1307,8.346236945969682,28.0,33.0,28,0,2681
1308,8.437636455832514,28.0,33.0,28,0,2642
1309,8.261326964873087,29.0,33.0,29,0,2600
1310,8.433425692904834,29.0,33.0,29,0,2610
1311,8.320197393817601,30.0,33.0,30,0,2606
1312,8.141600148305166,28.0,33.0,28,0,2606
1313,8.179553075613068,29.0,33.0,29,0,2592
1314,8.403442517390355,29.0,33.0,29,0,2602
1315,8.85985410511843,28.0,33.0,28,0,2616
1316,9.030606805418854,28.0,33.0,28,0,2626
1317,8.417057279407235,29.0,33.0,29,0,2617
1318,7.931676366347884,29.0,33.0,29,0,2648
1319,8.59961866435692,29.0,33.0,29,0,2633
1320,8.49620609690201,29.0,33.0,29,0,2624
1321,8.518424339739354,29.0,33.0,29,0,2642
1322,8.614876941800603,28.0,33.0,28,0,2635
1323,8.045600663489408,29.0,33.0,29,0,2659
1324,8.356837070910485,28.0,33.0,28,0,2673
1325,8.256316408171703,29.0,33.0,29,0,2672
1326,8.380193278394223,29.0,33.0,29,0,2669
1327,8.66946398911294,30.0,33.0,30,0,2642
1328,8.773115216923324,30.0,33.0,30,0,2660
1329,8.81110893896746,30.0,33.0,30,0,2657
1330,8.696247875801447,30.0,33.0,30,0,2653
1331,8.31726976150761,30.0,33.0,30,0,2679
1332,8.419767004296366,31.0,33.0,31,0,2624
1333,8.452645413016135,31.0,33.0,31,0,2602
1334,8.589661401823966,31.0,33.0,31,0,2583
1335,8.568006635567563,31.0,33.0,31,0,2549
1336,8.427777339337508,31.0,33.0,31,0,2557
1337,8.725084670852173,30.0,33.0,30,0,2552
1338,8.764419438508243,31.0,33.0,31,0,2568
1339,9.318052264760277,33.0,33.0,33,0,2535
1340,8.781459429669301,33.0,33.0,33,0,2581
1341,8.806484369970093,33.0,33.0,33,0,2606
1342,8.961293739881715,33.0,33.0,33,0,2659
1343,8.541952791052175,33.0,33.0,33,0,2687
1344,8.758223611855506,33.0,33.0,33,0,2693
1345,8.353094336764757,33.0,33.0,33,0,2714
1346,8.056343416412648,33.0,33.0,33,0,2749
1347,7.956559761419513,33.0,33.0,33,0,2769
1348,8.029688983416781,33.0,33.0,33,0,2779
1349,7.697687789649187,33.0,33.0,33,0,2789
1350,8.242110606877464,31.0,33.0,31,0,2784
1351,7.895813073851262,31.0,33.0,31,0,2749
1352,8.118488302149437,31.0,33.0,31,0,2745
1353,7.65969661468765,31.0,33.0,31,0,2753
1354,7.768763370650111,33.0,33.0,33,0,2750
1355,7.500558224605614,33.0,33.0,33,0,2726
1356,7.899406557365793,29.0,33.0,29,0,2717
1357,7.945708787459725,31.0,33.0,31,0,2698
1358,7.590163453930746,31.0,33.0,31,0,2688
1359,8.064388544606961,31.0,33.0,31,0,2688
1360,8.13999134374133,33.0,33.0,33,0,2671
1361,8.270284539742867,32.0,33.0,32,0,2680
1362,7.750875082480665,32.0,33.0,32,0,2684
1363,8.214280022743393,31.0,33.0,31,0,2731
1364,8.031109079470843,31.0,33.0,31,0,2723
1365,8.089679714280628,31.0,33.0,31,0,2739
1366,8.140373218726447,31.0,33.0,31,0,2732
1367,7.584936989598356,33.0,33.0,33,0,2752
1368,7.517860719454645,31.0,33.0,31,0,2747
1369,7.6697125294196065,32.0,33.0,32,0,2715
1370,7.810181757144658,32.0,33.0,32,0,2681
1371,7.889376545733324,32.0,33.0,32,0,2689
1372,7.856986777329375,32.0,33.0,32,0,2685
1373,8.015377915968182,31.0,33.0,31,0,2695
1374,7.845682292639254,33.0,33.0,33,0,2663
1375,8.028015974459793,33.0,33.0,33,0,2689
1376,7.799689484743335,31.0,33.0,31,0,2679
1377,8.199758611427882,31.0,33.0,31,0,2673
1378,8.067189839983264,31.0,33.0,31,0,2659
1379,8.073779743802252,31.0,33.0,31,0,2673
1380,7.910342813038733,31.0,33.0,31,0,2656
1381,8.16942848213924,29.0,33.0,29,0,2670
1382,8.178554266639086,29.0,33.0,29,0,2683
1383,7.79612977985559,29.0,33.0,29,0,2706
1384,8.066756792703899,28.0,33.0,28,0,2695
1385,8.230927417860928,28.0,33.0,28,0,2719
1386,8.190801985998256,33.0,33.0,33,0,2749
1387,7.912092680327163,30.0,33.0,30,0,2749
1388,8.16074405238808,30.0,33.0,30,0,2778
1389,7.986540714813602,33.0,33.0,33,0,2755
1390,7.7835235901288975,33.0,33.0,33,0,2772
1391,7.783268148184988,33.0,33.0,33,0,2773
1392,7.888292095206002,28.0,33.0,28,0,2731
1393,8.03492283565845,28.0,33.0,28,0,2746
1394,7.9565165147017,28.0,33.0,28,0,2753
1395,7.511203064274293,33.0,33.0,33,0,2732
1396,7.703881651555091,28.0,33.0,28,0,2758
1397,7.827315339941773,31.0,33.0,31,0,2717
1398,7.854632390834189,31.0,33.0,31,0,2717
1399,8.104061113242416,33.0,33.0,33,0,2719
1400,8.196523634536131,30.0,33.0,30,0,2723
1401,7.903819061044518,33.0,33.0,33,0,2733
1402,8.039253509284405,31.0,33.0,31,0,2746
1403,8.245722358622825,31.0,33.0,31,0,2733
1404,8.395642893672656,31.0,33.0,31,0,2734
1405,7.986951666756037,33.0,33.0,33,0,2722
1406,8.063713401539164,31.0,33.0,31,0,2708
1407,8.37373721128268,33.0,33.0,33,0,2673
1408,8.479913523806426,33.0,33.0,33,0,2670
1409,8.541875002231283,33.0,33.0,33,0,2685
1410,8.704737653137661,33.0,33.0,33,0,2678
1411,8.433143104093478,33.0,33.0,33,0,2717
1412,8.380045796073285,33.0,33.0,33,0,2737
1413,7.78576769207032,33.0,33.0,33,0,2733
1414,7.735411073458789,33.0,33.0,33,0,2729
1415,7.513995427937127,33.0,33.0,33,0,2687
1416,8.013416352746159,33.0,33.0,33,0,2655
1417,7.8021476861234245,33.0,33.0,33,0,2649
1418,7.6049564718512945,33.0,33.0,33,0,2699
1419,7.544978954907239,33.0,33.0,33,0,2731
1420,7.831513073865031,33.0,33.0,33,0,2729
1421,7.9405671933272455,33.0,33.0,33,0,2718
1422,7.728664715318866,33.0,33.0,33,0,2753
1423,7.8393581692356875,30.0,33.0,30,0,2818
1424,7.683501077237468,32.0,33.0,32,0,2780
1425,7.725860611431603,33.0,33.0,33,0,2823
1426,7.679568291116524,33.0,33.0,33,0,2836
